Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,kWh,PercentEnergy,Users,Projects
Overall,0,8.0,32.0,96.0,2048,102060,2721753.2,100.0,979433.8,100.0,757,102
Unidentified,0,16.0,64.0,256.0,2048,45260,1069733.7,39.3,356556.1,36.4,643,92
VASP,1,8.0,16.0,42.0,300,12634,306350.2,11.3,109845.8,11.2,110,9
CP2K,1,4.0,16.0,32.0,150,12893,206092.3,7.6,73075.0,7.5,51,9
GROMACS,1,8.0,12.0,24.0,122,2989,162815.2,6.0,75461.6,7.7,40,5
Python,1,50.0,128.0,776.0,800,3048,116593.2,4.3,44578.6,4.6,42,18
LAMMPS,1,3.0,8.0,36.0,1024,4087,87569.6,3.2,35016.4,3.6,50,15
Nektar++,1,56.0,60.0,64.0,1200,440,86932.9,3.2,31461.4,3.2,7,3
CASTEP,1,2.0,4.0,8.0,440,6659,77717.3,2.9,27412.2,2.8,39,6
Xcompact3d,1,24.0,128.0,512.0,512,1328,74571.5,2.7,28070.9,2.9,12,5
Met Office UM,1,148.0,148.0,148.0,196,1597,60812.9,2.2,21205.3,2.2,21,1
ONETEP,1,16.0,16.0,20.0,32,167,55142.4,2.0,19091.0,1.9,8,2
NAMD,1,7.0,65.0,65.0,600,615,43935.6,1.6,20641.8,2.1,13,7
CRYSTAL,1,4.0,8.0,150.0,228,2971,37071.4,1.4,13389.5,1.4,8,2
EPOCH,1,18.0,30.0,30.0,128,905,35963.1,1.3,13669.8,1.4,5,1
FHI aims,1,6.0,8.0,8.0,32,827,27216.1,1.0,10953.4,1.1,18,4
Code_Saturne,1,32.0,46.0,64.0,86,106,25447.3,0.9,8514.5,0.9,5,4
3DNS,35,239.0,239.0,393.0,393,33,21925.3,0.8,6479.2,0.7,2,1
ChemShell,1,8.0,8.0,12.0,40,172,20342.1,0.7,7473.1,0.8,10,2
OpenFOAM,1,3.0,8.0,16.0,64,721,20071.8,0.7,8088.6,0.8,32,15
a.out,1,10.0,10.0,40.0,128,637,19636.1,0.7,7482.1,0.8,15,8
Quantum Espresso,1,16.0,24.0,32.0,60,459,18332.3,0.7,7297.4,0.7,14,4
iIMB,4,36.0,60.0,60.0,60,34,18279.7,0.7,7256.7,0.7,2,1
NEMO,1,19.0,68.0,68.0,100,416,17990.7,0.7,5823.7,0.6,15,3
Nek5000,1,20.0,30.0,40.0,40,41,17916.3,0.7,7548.2,0.8,4,2
SENGA,1,40.0,40.0,64.0,64,37,12383.6,0.5,6472.7,0.7,5,3
ptau3d,4,20.0,20.0,50.0,200,300,12169.3,0.4,4130.0,0.4,2,1
HANDE,1,10.0,20.0,30.0,60,85,10374.3,0.4,2797.5,0.3,1,1
OSIRIS,96,96.0,96.0,96.0,96,8,9164.4,0.3,3273.1,0.3,1,1
MITgcm,1,1.0,1.0,3.0,4,741,8387.0,0.3,3176.2,0.3,7,4
WRF,1,8.0,8.0,8.0,8,46,6518.0,0.2,1559.8,0.2,3,3
R-matrix,1,66.0,153.0,153.0,167,40,6058.9,0.2,1486.1,0.2,1,1
NWChem,1,2.0,2.0,3.0,18,268,5775.8,0.2,2148.0,0.2,8,6
GS2,2,2.0,64.0,64.0,512,180,5703.2,0.2,2259.6,0.2,3,1
Smilei,8,16.0,32.0,64.0,64,83,3892.5,0.1,1064.2,0.1,3,1
PDNS3D,128,128.0,128.0,160.0,160,8,3687.0,0.1,1548.3,0.2,1,1
HYDRA,1,30.0,30.0,128.0,128,69,3019.2,0.1,1002.2,0.1,6,3
RMT,2,11.0,16.0,16.0,19,56,1953.0,0.1,717.0,0.1,3,1
DL_MESO,1,1.0,1.0,1.0,1,304,848.5,0.0,306.1,0.0,2,1
SIESTA,1,1.0,1.0,1.0,2,216,815.9,0.0,191.2,0.0,6,2
TPLS,1,4.0,4.0,4.0,4,84,668.2,0.0,288.9,0.0,3,3
CASINO,2,4.0,12.0,12.0,12,57,624.5,0.0,208.1,0.0,1,1
SBLI,1,8.0,16.0,16.0,16,111,525.0,0.0,187.8,0.0,2,1
CESM,1,1.0,1.0,1.0,2,118,322.0,0.0,112.2,0.0,2,1
Fluidity,1,128.0,128.0,128.0,128,33,180.1,0.0,53.7,0.0,1,1
GPAW,1,1.0,1.0,1.0,1,23,82.4,0.0,22.2,0.0,2,1
Arm Forge,1,10.0,10.0,10.0,10,83,54.0,0.0,11.1,0.0,4,4
DL_POLY,1,1.0,1.0,1.0,1,6,36.1,0.0,10.4,0.0,1,1
AxiSEM3D,1,1.0,1.0,1.0,1,13,31.6,0.0,9.4,0.0,1,1
PRECISE,1,8.0,16.0,32.0,32,9,15.7,0.0,4.6,0.0,1,1
HemeLB,1,2.0,4.0,4.0,8,38,3.6,0.0,1.1,0.0,2,2
FVCOM,1,1.0,1.0,1.0,1,5,0.2,0.0,0.0,0.0,1,1
