CPUFreq,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,Users,Projects
Overall,0,512.0,2048.0,8192.0,259200,1407188,1885539.9,100.0,700,103
2G,1,512.0,2048.0,8192.0,131072,1251840,1426178.4,75.6,605,90
2.25G,1,512.0,3072.0,8192.0,131072,47835,364254.8,19.3,101,31
Unknown,0,1280.0,8192.0,48512.0,259200,107319,94906.6,5.0,464,85
1.50G,1,256.0,512.0,512.0,4096,138,174.5,0.0,20,3
2.40G,1,128.0,128.0,128.0,512,50,25.5,0.0,1,1
High,1,1.0,1.0,1.0,1,2,0.0,0.0,1,1
3.40G,1,128.0,128.0,128.0,128,2,0.0,0.0,1,1
2.50G,1,128.0,128.0,128.0,128,2,0.0,0.0,1,1
